#{"t_start": 1771818072.590962, "env_id": "None"}
r,l,t
55.455,360,1.108945
-47.2,360,1.26912
-34.095,360,1.419189
3.82,360,1.580293
38.075,360,1.734396
134.9,360,3.203159
139.25,360,3.35945
64.935,360,3.516897
88.945,360,3.672341
134.385,360,3.827323
76.3,360,3.981212
36.255,360,5.369767
95.73,360,5.52364
135.245,360,5.677253
166.16,360,5.831945
133.235,360,5.983327
60.765,360,6.143978
179.97,360,7.538307
179.545,360,7.693242
167.11,360,7.850425
188.925,360,8.005751
166.85,360,8.161288
155.32,360,9.599455
180.225,360,9.752616
167.99,360,9.903168
184.655,360,10.074084
186.72,360,10.246661
183.055,360,10.411075
142.65,360,11.891671
140.73,360,12.054381
241.97,360,12.216675
191.03,360,12.378602
161.42,360,12.548381
213.535,360,12.751496
182.495,360,14.182695
112.535,360,14.3354
148.745,360,14.488623
110.01,360,14.63939
224.83,360,14.795545
132.49,360,16.223684
148.695,360,16.383102
188.845,360,16.534143
209.535,360,16.684233
209.575,360,16.834872
156.24,360,16.985283
210.385,360,18.348672
152.86,360,18.499343
201.98,360,18.650699
175.53,360,18.800084
203.17,360,18.949953
216.15,360,19.100367
187.27,360,20.454886
243.47,360,20.605409
193.965,360,20.756178
194.54,360,20.949712
220.22,360,21.129618
208.385,360,22.825984
217.345,360,22.997825
197.8,360,23.167523
172.405,360,23.342097
202.32,360,23.509527
224.545,360,23.671776
199.935,360,25.172829
151.255,360,25.322329
232.235,360,25.472806
178.855,360,25.627743
175.25,360,25.777274
192.795,360,25.927766
197.935,360,27.32161
206.34,360,27.473632
203.495,360,27.62424
164.015,360,27.774643
186.55,360,27.924804
214.905,360,29.279172
214.16,360,29.431019
213.55,360,29.581752
198.99,360,29.730971
181.505,360,29.883067
238.155,360,30.033371
177.26,360,31.392951
217.885,360,31.544014
219.88,360,31.742508
225.36,360,31.90448
185.315,360,32.054773
173.99,360,32.204922
213.635,360,33.567637
188.285,360,33.717215
215.01,360,33.867045
204.075,360,34.017957
236.16,360,34.167828
162.88,360,34.318452
172.405,360,35.686726
185.01,360,35.836637
189.285,360,35.986964
175.385,360,36.135977
194.225,360,36.285796
212.03,360,37.649949
206.18,360,37.801623
212.265,360,37.951932
211.335,360,38.102603
209.615,360,38.252556
197.525,360,38.403435
226.8,360,39.780693
204.37,360,39.932619
202.965,360,40.083315
216.99,360,40.234917
190.04,360,40.385827
199.57,360,40.536381
223.61,360,41.897992
191.045,360,42.048107
197.28,360,42.199832
221.685,360,42.349477
257.785,360,42.499992
238.765,360,43.858508
204.56,360,44.008245
207.86,360,44.158447
189.88,360,44.309656
226.25,360,44.457611
221.905,360,44.606863
235.66,360,45.98372
259.43,360,46.134947
178.71,360,46.286625
223.375,360,46.444014
211.13,360,46.655442
115.91,360,46.815091
170.295,360,48.18434
184.7,360,48.33527
223.685,360,48.48576
218.91,360,48.636397
214.99,360,48.786733
209.455,360,50.148614
176.785,360,50.300432
225.745,360,50.451408
225.05,360,50.602094
247.88,360,50.753279
157.205,360,50.902614
214.97,360,52.26365
208.88,360,52.415737
235.17,360,52.566651
195.565,360,52.717938
224.72,360,52.868247
219.66,360,53.017386
250.86,360,54.37674
213.145,360,54.528192
206.85,360,54.678188
188.395,360,54.828859
231.54,360,54.979071
200.405,360,56.338881
195.465,360,56.49155
209.65,360,56.642354
230.77,360,56.793448
190.885,360,56.94342
209.395,360,57.092604
212.205,360,58.455256
185.135,360,58.607101
195.065,360,58.758123
204.54,360,58.908082
193.135,360,59.061488
209.465,360,59.22668
201.955,360,60.594481
213.485,360,60.746526
196.04,360,60.897013
204.27,360,61.047414
195.1,360,61.196546
193.62,360,62.598554
176.85,360,62.749401
220.105,360,62.900659
202.745,360,63.050966
222.195,360,63.200865
203.725,360,63.351166
199.6,360,64.739134
196.025,360,64.89067
205.4,360,65.041412
205.905,360,65.191339
207.22,360,65.342492
179.935,360,65.491726
209.085,360,66.99981
222.35,360,67.228338
216.225,360,67.403014
212.975,360,67.622593
208.16,360,67.793823
163.065,360,67.969659
187.535,360,69.674758
175.98,360,69.862141
220.685,360,70.078542
193.245,360,70.24378
164.53,360,70.394816
200.81,360,71.936953
203.205,360,72.095476
217.295,360,72.248164
189.92,360,72.397636
230.66,360,72.548065
234.44,360,72.6974
221.575,360,74.153066
222.465,360,74.350744
212.955,360,74.497961
216.795,360,74.648424
219.935,360,74.853594
229.36,360,75.106804
239.57,360,76.50555
204.57,360,76.660424
231.27,360,76.813299
248.595,360,76.967775
199.49,360,77.125892
213.725,360,78.49176
160.585,360,78.643218
181.085,360,78.794341
212.45,360,78.945444
249.945,360,79.096735
206.485,360,79.24705
199.63,360,80.718831
199.9,360,80.870803
248.955,360,81.046803
206.655,360,81.207591
187.045,360,81.358301
183.2,360,81.511698
209.67,360,82.936054
190.125,360,83.094196
179.39,360,83.250234
222.805,360,83.405713
229.125,360,83.561589
242.97,360,84.973726
226.49,360,85.127354
217.085,360,85.282823
216.95,360,85.434946
231.01,360,85.589705
246.585,360,85.743493
212.695,360,87.152856
208.6,360,87.302877
211.015,360,87.459535
209.065,360,87.618246
239.46,360,87.777276
215.31,360,87.928943
162.58,360,89.320164
193.915,360,89.476754
233.055,360,89.631091
222.22,360,89.786938
218.365,360,89.938743
215.15,360,91.346438
224.28,360,91.506383
223.485,360,91.660994
198.11,360,91.8149
227.485,360,91.97045
237.23,360,92.126285
227.58,360,93.532506
197.555,360,93.702177
227.7,360,93.856037
226.4,360,94.009493
238.79,360,94.171067
186.325,360,94.397935
226.21,360,95.916422
190.92,360,96.072547
208.635,360,96.235483
216.81,360,96.40571
221.9,360,96.558748
204.765,360,96.712217
190.365,360,98.155822
195.79,360,98.309937
189.865,360,98.46087
206.3,360,98.624056
246.705,360,98.775839
231.11,360,100.263387
226.945,360,100.415065
208.305,360,100.565745
229.595,360,100.717759
190.79,360,100.868051
211.24,360,101.019629
234.375,360,102.438243
204.12,360,102.589901
184.08,360,102.740922
204.835,360,102.891799
206.675,360,103.043214
209.7,360,103.193415
210.225,360,104.551511
220.235,360,104.699794
184.695,360,104.850185
193.435,360,105.00097
199.08,360,105.152023
214.925,360,106.601417
246.16,360,106.75747
216.93,360,106.933025
204.095,360,107.092767
230.41,360,107.243823
244.125,360,107.394782
217.55,360,108.943642
230.315,360,109.096508
236.465,360,109.244437
209.305,360,109.395153
209.185,360,109.543098
232.255,360,109.693817
201.93,360,111.153735
207.955,360,111.322682
218.165,360,111.492249
224.48,360,111.650456
186.83,360,111.805057
228.56,360,113.256876
217.305,360,113.422637
228.68,360,113.583145
213.89,360,113.733487
226.955,360,113.884475
230.12,360,114.03498
225.56,360,115.460981
223.185,360,115.697259
195.85,360,115.86018
198.955,360,116.025104
239.93,360,116.191581
239.345,360,116.34542
233.635,360,117.795281
238.155,360,117.955963
195.99,360,118.113001
209.885,360,118.267811
193.305,360,118.42574
197.305,360,119.860202
229.23,360,120.026625
216.32,360,120.183373
184.525,360,120.349181
191.18,360,120.516441
238.145,360,120.670219
216.79,360,122.099163
208.285,360,122.261548
218.03,360,122.487291
201.32,360,122.650171
206.11,360,122.807016
216.17,360,122.970649
191.595,360,124.553253
220.785,360,124.703123
238.67,360,124.854947
213.995,360,125.005338
229.155,360,125.15623
233.965,360,126.579319
215.23,360,126.732965
211.695,360,126.886928
235.24,360,127.041378
220.845,360,127.19255
206.185,360,127.34234
216.695,360,128.709977
216.505,360,128.860819
224.37,360,129.01205
200.645,360,129.163998
196.335,360,129.313781
243.96,360,129.46384
223.655,360,130.834248
228.445,360,130.985938
207.325,360,131.137229
208.34,360,131.289946
223.905,360,131.440965
217.305,360,131.591959
212.38,360,133.00464
226.8,360,133.157338
229.255,360,133.308828
195.42,360,133.466909
207.265,360,133.63069
243.585,360,135.016385
212.69,360,135.167299
230.98,360,135.31902
244.43,360,135.495445
236.525,360,135.705049
198.32,360,135.859151
239.0,360,137.229538
230.045,360,137.381559
216.21,360,137.533487
215.675,360,137.687614
193.1,360,137.837474
219.345,360,137.989145
216.32,360,139.362051
220.37,360,139.511911
185.18,360,139.663986
204.385,360,139.855544
250.115,360,140.011071
184.395,360,141.394998
236.265,360,141.547164
199.13,360,141.698378
223.955,360,141.848947
195.745,360,142.001134
198.585,360,142.15377
204.09,360,143.525147
217.45,360,143.680267
217.69,360,143.831593
234.155,360,143.983087
216.105,360,144.133294
205.785,360,144.283827
209.315,360,145.703002
207.7,360,145.853404
213.425,360,146.006216
243.455,360,146.156786
195.91,360,146.307343
220.385,360,147.674893
209.99,360,147.825485
232.745,360,147.977314
185.205,360,148.12891
216.555,360,148.279446
236.52,360,148.430807
218.84,360,149.795773
228.25,360,149.946597
247.165,360,150.098084
234.365,360,150.248843
220.09,360,150.3999
222.06,360,150.550377
247.03,360,151.959585
218.82,360,152.111766
224.03,360,152.262537
242.57,360,152.414104
206.2,360,152.563054
218.74,360,153.930389
258.66,360,154.083058
188.19,360,154.233308
212.805,360,154.383702
231.86,360,154.534727
231.35,360,154.68577
235.21,360,156.097036
196.75,360,156.247313
226.945,360,156.398393
224.92,360,156.548282
229.135,360,156.701329
241.67,360,156.851645
227.49,360,158.221217
217.22,360,158.37282
212.905,360,158.522355
192.97,360,158.671293
219.48,360,158.823437
237.075,360,160.188409
215.155,360,160.33927
186.235,360,160.489502
191.28,360,160.639028
222.07,360,160.78976
188.435,360,160.941156
235.24,360,162.310017
229.415,360,162.461697
231.72,360,162.612969
208.405,360,162.76206
229.53,360,162.912787
193.475,360,163.063467
205.18,360,164.529256
191.555,360,164.679226
192.085,360,164.82969
173.68,360,164.980621
228.0,360,165.13222
229.525,360,165.282007
185.78,360,166.705397
231.705,360,166.856067
222.525,360,167.007848
215.165,360,167.160981
215.85,360,167.313048
192.535,360,168.683994
190.84,360,168.834311
205.62,360,168.985906
204.495,360,169.1368
193.77,360,169.286837
219.57,360,169.43936
225.42,360,170.804362
239.415,360,170.955494
203.2,360,171.105955
231.085,360,171.255771
232.58,360,171.405853
197.21,360,171.557349
201.845,360,172.975761
219.96,360,173.131316
223.0,360,173.281888
201.895,360,173.432711
208.575,360,173.583269
208.325,360,175.0252
219.845,360,175.190936
194.13,360,175.354839
234.7,360,175.517566
226.485,360,175.693076
226.655,360,175.855648
235.685,360,177.417502
210.38,360,177.588429
212.265,360,177.761858
189.505,360,177.922932
235.585,360,178.076534
208.69,360,178.232645
246.97,360,179.670191
230.205,360,179.821005
238.365,360,179.97372
214.38,360,180.126732
219.965,360,180.280101
251.04,360,181.64923
209.74,360,181.800423
213.115,360,181.95262
228.59,360,182.103357
250.745,360,182.255702
200.915,360,182.406107
217.65,360,183.919624
229.065,360,184.086078
207.445,360,184.275793
229.535,360,184.506354
198.675,360,184.691425
223.405,360,184.862263
235.2,360,186.359065
200.4,360,186.508532
219.56,360,186.657723
236.49,360,186.89664
229.44,360,187.059488
210.465,360,188.636745
224.52,360,188.793986
205.365,360,188.945372
227.825,360,189.098821
208.215,360,189.251351
217.435,360,189.405838
173.91,360,190.855002
254.935,360,191.00919
174.745,360,191.161683
241.775,360,191.315944
215.825,360,191.477832
230.235,360,191.652591
235.115,360,193.063667
216.61,360,193.216193
199.875,360,193.367971
232.205,360,193.522382
195.835,360,193.6744
214.605,360,193.825004
216.29,360,195.194546
212.35,360,195.342201
228.86,360,195.489864
211.565,360,195.638657
214.035,360,195.785756
243.4,360,197.140612
210.955,360,197.289197
211.315,360,197.437085
231.785,360,197.585401
214.74,360,197.73453
219.755,360,197.882154
234.44,360,199.237353
228.725,360,199.384705
181.36,360,199.533042
239.89,360,199.681437
181.955,360,199.830126
216.335,360,199.977228
208.18,360,201.330061
209.64,360,201.478039
230.28,360,201.626833
197.06,360,201.774597
224.605,360,201.92317
225.795,360,203.293338
195.745,360,203.45541
249.74,360,203.67835
206.815,360,203.864777
214.58,360,204.028085
184.64,360,204.183763
209.42,360,205.602486
230.865,360,205.767319
254.28,360,205.92021
229.84,360,206.074305
249.58,360,206.226108
222.215,360,206.37869
204.625,360,207.760219
230.875,360,207.91222
240.27,360,208.068822
226.47,360,208.2397
230.19,360,208.395705
239.955,360,209.775329
188.725,360,209.928329
219.27,360,210.081672
193.765,360,210.232348
243.1,360,210.385902
222.83,360,210.537532
221.33,360,211.918083
202.85,360,212.07124
237.29,360,212.222655
234.19,360,212.375956
191.92,360,212.527198
241.87,360,212.681127
179.825,360,214.110748
219.715,360,214.264379
219.215,360,214.416561
207.395,360,214.569038
214.5,360,214.721737
256.735,360,216.098603
211.03,360,216.251782
213.375,360,216.40135
194.155,360,216.553321
227.315,360,216.70547
195.68,360,216.857
228.405,360,218.240058
232.11,360,218.393311
233.64,360,218.545818
190.28,360,218.697487
200.775,360,218.848526
203.745,360,219.001434
211.035,360,220.378325
220.795,360,220.531208
204.08,360,220.684134
221.22,360,220.836159
202.655,360,220.989307
201.695,360,222.431269
240.945,360,222.587422
208.65,360,222.739258
234.995,360,222.891774
205.51,360,223.043766
225.03,360,223.195576
195.025,360,224.57198
180.925,360,224.727026
220.6,360,224.878939
219.775,360,225.032863
234.425,360,225.18682
221.09,360,225.340999
232.565,360,226.765645
195.36,360,226.919028
228.895,360,227.070787
219.61,360,227.223612
238.765,360,227.375875
212.855,360,227.527807
201.51,360,229.018367
217.82,360,229.174284
211.575,360,229.327555
188.66,360,229.480526
205.105,360,229.633776
237.26,360,231.01301
222.395,360,231.165563
247.885,360,231.318639
199.655,360,231.471293
228.745,360,231.623862
211.845,360,231.776218
203.055,360,233.155032
214.025,360,233.30683
213.11,360,233.460516
232.01,360,233.612111
245.01,360,233.765815
226.235,360,233.917225
195.655,360,235.29572
236.755,360,235.44853
209.02,360,235.601608
229.575,360,235.7557
237.345,360,235.906909
243.05,360,237.2823
212.905,360,237.437466
231.995,360,237.589018
238.37,360,237.739441
228.53,360,237.889413
211.685,360,238.040725
231.43,360,239.44605
239.13,360,239.599063
236.535,360,239.753198
233.64,360,239.905947
214.32,360,240.059251
228.56,360,240.210894
202.75,360,241.58764
226.14,360,241.741362
213.24,360,241.893967
230.57,360,242.046791
238.735,360,242.20042
243.57,360,243.569486
224.055,360,243.72096
202.39,360,243.875394
215.535,360,244.027406
211.5,360,244.180483
198.79,360,244.332115
233.115,360,245.710137
203.415,360,245.863642
230.005,360,246.017306
200.35,360,246.170511
195.135,360,246.322309
224.49,360,246.473052
202.59,360,247.921023
218.155,360,248.073257
228.96,360,248.226864
243.765,360,248.379299
208.145,360,248.531932
210.2,360,249.927448
225.905,360,250.081355
217.35,360,250.234119
224.795,360,250.388475
239.5,360,250.540697
191.385,360,250.693862
199.455,360,252.071998
234.945,360,252.224267
225.305,360,252.378504
228.82,360,252.530594
208.165,360,252.681605
240.185,360,252.83422
211.675,360,254.212572
252.865,360,254.366201
216.69,360,254.516215
195.525,360,254.668551
206.67,360,254.821903
225.055,360,256.197399
201.035,360,256.350275
232.325,360,256.504043
233.87,360,256.657356
227.505,360,256.810305
225.845,360,256.965216
226.545,360,258.383933
197.64,360,258.536992
207.605,360,258.691039
220.08,360,258.843651
207.845,360,258.994581
220.915,360,259.146706
214.845,360,260.524841
201.355,360,260.677428
195.5,360,260.830255
197.655,360,260.98254
203.555,360,261.134419
195.565,360,261.286704
188.265,360,262.664667
189.73,360,262.818088
237.865,360,262.970622
241.605,360,263.123828
248.79,360,263.275588
