#{"t_start": 1771818072.594501, "env_id": "None"}
r,l,t
47.015,360,1.105371
58.625,360,1.265558
107.98,360,1.415637
64.46,360,1.576628
31.51,360,1.730828
59.325,360,3.199611
128.48,360,3.355887
173.375,360,3.513359
91.725,360,3.668753
116.315,360,3.823721
62.59,360,3.977648
91.53,360,5.366206
127.755,360,5.520075
157.285,360,5.673708
131.97,360,5.828396
84.095,360,5.979764
177.805,360,6.140362
185.08,360,7.534733
181.415,360,7.689675
194.52,360,7.846835
182.305,360,8.002208
108.49,360,8.157726
239.515,360,9.595899
214.115,360,9.749053
199.995,360,9.899589
172.25,360,10.070495
188.26,360,10.243122
199.61,360,10.4075
183.89,360,11.887905
211.875,360,12.050798
172.515,360,12.213093
179.935,360,12.375045
158.02,360,12.544784
186.935,360,12.747828
151.825,360,14.179172
152.92,360,14.331852
113.46,360,14.485069
144.58,360,14.635848
173.745,360,14.791971
189.055,360,16.220122
225.375,360,16.379546
171.485,360,16.530543
165.79,360,16.680682
174.875,360,16.831312
179.67,360,16.981705
231.12,360,18.345125
140.08,360,18.495776
175.775,360,18.647131
196.16,360,18.796535
217.09,360,18.946383
205.445,360,19.096799
201.45,360,20.451334
204.06,360,20.601874
194.72,360,20.752619
166.955,360,20.9462
167.14,360,21.125942
195.395,360,22.822439
225.95,360,22.994261
218.025,360,23.163876
210.42,360,23.338567
212.84,360,23.505957
226.89,360,23.668257
169.98,360,25.169262
221.73,360,25.318806
205.06,360,25.469248
223.5,360,25.62416
209.93,360,25.77373
193.875,360,25.924207
226.835,360,27.318031
183.82,360,27.470094
176.36,360,27.620704
220.66,360,27.771089
212.48,360,27.92123
176.53,360,29.275602
184.16,360,29.42746
191.84,360,29.578241
232.535,360,29.727424
224.46,360,29.879539
224.915,360,30.029803
218.85,360,31.389419
157.395,360,31.54044
133.755,360,31.738997
202.67,360,31.900943
241.265,360,32.051209
205.055,360,32.201365
210.195,360,33.564079
230.655,360,33.713664
204.565,360,33.863495
146.405,360,34.014406
204.485,360,34.164244
227.58,360,34.314872
224.09,360,35.68316
208.375,360,35.833105
200.25,360,35.983419
228.155,360,36.13242
227.855,360,36.282223
225.835,360,37.646403
220.935,360,37.79808
185.19,360,37.948331
217.615,360,38.099036
205.81,360,38.249011
208.8,360,38.399874
197.64,360,39.777136
161.59,360,39.929086
200.485,360,40.079784
193.68,360,40.231344
240.83,360,40.382288
226.375,360,40.532832
234.065,360,41.894429
203.09,360,42.044572
216.11,360,42.196279
216.73,360,42.345913
231.15,360,42.496408
218.63,360,43.85497
207.99,360,44.004707
208.075,360,44.154909
195.53,360,44.306098
200.095,360,44.454084
182.97,360,44.603305
211.105,360,45.980168
219.62,360,46.131409
193.68,360,46.283048
199.135,360,46.44044
209.885,360,46.651906
197.98,360,46.811535
240.255,360,48.180801
237.22,360,48.331706
202.385,360,48.482205
209.52,360,48.632805
231.88,360,48.783186
196.9,360,50.145041
195.3,360,50.296856
225.645,360,50.447834
197.22,360,50.598519
209.285,360,50.749711
173.7,360,50.899076
203.04,360,52.260096
217.13,360,52.412173
233.985,360,52.563095
218.355,360,52.7144
207.77,360,52.86469
227.445,360,53.01386
213.18,360,54.373162
183.655,360,54.524628
253.05,360,54.674617
234.285,360,54.825335
236.715,360,54.97555
225.325,360,56.335333
242.16,360,56.487982
204.625,360,56.638772
179.215,360,56.789873
246.32,360,56.939879
199.155,360,57.089041
200.875,360,58.451713
204.665,360,58.603483
236.47,360,58.754584
209.475,360,58.904529
210.075,360,59.057938
192.795,360,59.223086
183.6,360,60.590915
213.645,360,60.742971
197.9,360,60.893448
209.565,360,61.043829
227.735,360,61.193
209.015,360,62.594996
216.425,360,62.745843
179.885,360,62.897057
164.395,360,63.047421
214.505,360,63.197328
210.895,360,63.347618
234.985,360,64.735584
241.165,360,64.887144
217.405,360,65.037876
208.645,360,65.187796
217.84,360,65.338939
223.09,360,65.488175
221.83,360,66.996152
216.325,360,67.224896
196.465,360,67.399468
161.795,360,67.619047
196.73,360,67.790251
193.995,360,67.965989
221.035,360,69.671132
218.415,360,69.858499
198.775,360,70.075005
214.575,360,70.240215
208.185,360,70.391278
185.99,360,71.933418
202.285,360,72.091915
238.85,360,72.244607
190.07,360,72.394061
194.715,360,72.544492
207.54,360,72.693852
238.615,360,74.149505
212.385,360,74.347183
199.21,360,74.494439
235.775,360,74.644776
230.705,360,74.849913
209.11,360,75.103167
216.505,360,76.502006
221.985,360,76.656864
200.26,360,76.809712
198.085,360,76.964218
247.14,360,77.122365
231.83,360,78.488237
198.76,360,78.639675
217.31,360,78.790811
229.935,360,78.941898
224.705,360,79.093153
220.545,360,79.243489
241.755,360,80.715289
219.995,360,80.867265
218.785,360,81.043112
220.5,360,81.204029
222.61,360,81.354743
239.54,360,81.508154
188.85,360,82.932481
190.83,360,83.090624
173.13,360,83.24669
205.87,360,83.402142
210.915,360,83.55802
239.365,360,84.970172
216.265,360,85.123818
226.0,360,85.279289
236.585,360,85.431369
211.01,360,85.586185
195.765,360,85.739942
218.93,360,87.149289
225.585,360,87.299188
234.405,360,87.455974
197.4,360,87.614569
249.045,360,87.773747
230.12,360,87.925365
241.22,360,89.316631
173.73,360,89.473224
226.09,360,89.627568
219.885,360,89.783415
237.655,360,89.935184
212.445,360,91.342776
203.595,360,91.502844
229.505,360,91.657435
221.27,360,91.811348
219.025,360,91.966855
220.645,360,92.122718
185.025,360,93.528938
201.69,360,93.698622
221.225,360,93.852478
235.34,360,94.005911
226.215,360,94.167513
230.435,360,94.394316
229.975,360,95.912895
213.385,360,96.068999
227.56,360,96.231822
200.34,360,96.402134
216.88,360,96.555183
195.95,360,96.708637
202.03,360,98.152248
215.39,360,98.306391
198.14,360,98.457313
200.09,360,98.620479
201.105,360,98.772284
221.605,360,100.25985
233.955,360,100.411518
224.855,360,100.562184
210.52,360,100.714228
223.985,360,100.864513
200.735,360,101.016064
198.175,360,102.434661
195.26,360,102.586331
215.34,360,102.737369
218.395,360,102.888249
230.32,360,103.03965
187.86,360,103.189882
223.04,360,104.547983
220.95,360,104.696261
253.765,360,104.84666
238.385,360,104.997403
240.925,360,105.148463
214.9,360,106.597897
208.185,360,106.75391
183.0,360,106.929465
220.75,360,107.089236
208.165,360,107.240258
212.83,360,107.391264
222.01,360,108.940097
220.45,360,109.092966
195.965,360,109.240879
213.575,360,109.391624
253.12,360,109.539579
230.625,360,109.690253
212.835,360,111.150031
206.725,360,111.319139
208.825,360,111.488711
241.75,360,111.646912
238.295,360,111.801507
200.18,360,113.253313
223.38,360,113.419066
223.825,360,113.579583
195.07,360,113.729896
235.875,360,113.880918
222.225,360,114.031408
204.68,360,115.45743
217.93,360,115.69361
168.255,360,115.856639
188.255,360,116.021546
238.98,360,116.188041
215.595,360,116.341865
216.005,360,117.79174
214.42,360,117.952384
223.705,360,118.109445
238.12,360,118.264266
241.16,360,118.422153
195.005,360,119.856644
245.425,360,120.023084
198.23,360,120.179854
237.355,360,120.345621
208.37,360,120.512739
218.585,360,120.666667
216.85,360,122.095528
218.805,360,122.25799
215.02,360,122.483716
233.76,360,122.646647
188.81,360,122.803406
219.155,360,122.967116
233.525,360,124.549686
219.315,360,124.699555
210.65,360,124.851368
233.98,360,125.001774
197.98,360,125.152657
226.54,360,126.575773
227.085,360,126.729412
197.27,360,126.883377
235.64,360,127.037821
218.725,360,127.188955
211.715,360,127.338771
227.12,360,128.706415
201.91,360,128.857285
209.17,360,129.008487
233.07,360,129.160455
221.81,360,129.310275
193.35,360,129.460252
198.545,360,130.83068
236.68,360,130.982396
220.04,360,131.133668
221.0,360,131.286332
226.435,360,131.437409
229.565,360,131.588417
198.5,360,133.001104
236.61,360,133.153739
226.745,360,133.305277
189.165,360,133.463358
238.63,360,133.62711
196.205,360,135.012811
226.015,360,135.163732
209.855,360,135.315446
209.925,360,135.491787
213.86,360,135.701486
214.69,360,135.855608
227.56,360,137.226011
205.835,360,137.378017
234.34,360,137.529926
218.06,360,137.684041
206.415,360,137.833917
198.01,360,137.985582
210.62,360,139.358476
226.415,360,139.508343
229.02,360,139.66042
217.22,360,139.851968
242.26,360,140.007531
218.145,360,141.39142
209.95,360,141.543565
211.375,360,141.694796
243.19,360,141.84538
178.5,360,141.997601
226.095,360,142.150213
243.94,360,143.521604
192.875,360,143.676709
223.49,360,143.828024
217.745,360,143.979508
181.455,360,144.12978
214.96,360,144.280287
229.555,360,145.699471
205.845,360,145.849834
221.825,360,146.002687
238.565,360,146.153238
204.105,360,146.303791
222.58,360,147.671351
231.65,360,147.821927
233.565,360,147.973769
200.985,360,148.125359
224.725,360,148.275879
216.6,360,148.427256
201.55,360,149.79222
227.935,360,149.943035
