#{"t_start": 1771730704.409077, "env_id": "None"}
r,l,t
129.7,360,36.718863
142.1,360,36.785529
138.4,360,37.161662
115.85,360,37.228029
116.15,360,37.292772
130.6,360,37.35905
149.55,360,37.425615
110.3,360,37.800662
111.25,360,37.866066
113.0,360,37.93083
123.35,360,37.996902
123.25,360,38.063608
134.6,360,38.14847
138.1,360,38.550664
137.2,360,38.617407
118.8,360,38.684029
120.3,360,38.749372
93.45,360,38.814557
117.15,360,38.879918
122.1,360,39.263318
119.2,360,39.329623
132.75,360,39.395404
146.45,360,39.461771
115.9,360,39.55128
129.65,360,39.956316
102.25,360,40.023544
120.75,360,40.091904
105.4,360,40.159165
138.75,360,40.225691
142.9,360,40.293312
146.25,360,40.68456
130.75,360,40.751961
113.35,360,40.819922
92.25,360,40.886679
136.5,360,40.953471
127.55,360,41.020296
88.4,360,41.404797
137.4,360,41.473074
149.05,360,41.542055
119.35,360,41.609102
119.5,360,41.676472
156.85,360,42.062035
134.05,360,42.129226
145.2,360,42.196927
132.95,360,42.265077
130.8,360,42.331667
120.4,360,42.398349
135.95,360,42.812601
126.35,360,42.881612
113.85,360,42.954949
144.6,360,43.026085
142.7,360,43.097337
113.85,360,43.166363
117.6,360,43.557377
151.8,360,43.626867
135.0,360,43.69344
105.8,360,43.760603
145.75,360,43.827383
119.4,360,43.894185
131.4,360,44.283417
105.95,360,44.34861
110.1,360,44.415259
117.35,360,44.481602
100.95,360,44.546484
108.95,360,44.945891
113.0,360,45.014868
135.9,360,45.085219
114.85,360,45.15448
121.5,360,45.226714
125.9,360,45.296381
130.25,360,45.69216
124.2,360,45.758764
138.0,360,45.828578
117.0,360,45.897495
123.75,360,45.965604
145.15,360,46.033091
131.35,360,46.476902
106.85,360,46.543471
94.75,360,46.609435
116.15,360,46.6745
125.0,360,46.741895
125.7,360,47.149477
116.8,360,47.221406
96.75,360,47.288316
130.65,360,47.359273
127.65,360,47.429006
111.55,360,47.494215
135.45,360,47.894037
112.8,360,47.962624
107.65,360,48.028804
129.6,360,48.100711
100.65,360,48.169003
142.95,360,48.238384
128.85,360,48.625394
109.85,360,48.691945
130.05,360,48.757922
131.8,360,48.828607
115.85,360,48.898169
136.05,360,49.296858
96.0,360,49.36412
118.35,360,49.431284
120.95,360,49.497154
126.75,360,49.564316
146.0,360,49.631798
123.3,360,50.012442
128.75,360,50.079362
122.35,360,50.146381
128.3,360,50.212454
93.25,360,50.277783
135.45,360,50.343979
104.0,360,50.730351
115.35,360,50.796958
130.45,360,50.862627
140.85,360,50.929822
131.9,360,50.99647
126.2,360,51.379077
133.25,360,51.448838
122.65,360,51.516834
128.35,360,51.582718
120.3,360,51.649255
150.0,360,51.715881
126.3,360,52.112151
86.95,360,52.182996
124.9,360,52.247971
110.55,360,52.318528
136.2,360,52.388015
126.0,360,52.456431
103.3,360,52.850458
120.65,360,52.917261
120.55,360,52.983271
118.2,360,53.049327
139.9,360,53.116241
119.45,360,53.495879
111.45,360,53.563206
118.35,360,53.629218
120.05,360,53.694756
96.1,360,53.760659
140.2,360,53.826926
129.65,360,54.237612
139.35,360,54.305254
119.2,360,54.372244
127.75,360,54.436838
108.8,360,54.501937
137.35,360,54.567131
128.2,360,54.946249
122.8,360,55.012401
91.7,360,55.076249
135.9,360,55.142707
127.65,360,55.208971
134.65,360,55.274402
124.85,360,55.65296
137.6,360,55.718809
128.2,360,55.785655
111.85,360,55.851383
124.5,360,55.916273
141.4,360,56.295452
104.8,360,56.361143
127.55,360,56.427042
141.85,360,56.493845
146.2,360,56.559149
122.35,360,56.624758
101.85,360,57.001997
129.2,360,57.066535
111.9,360,57.13757
131.55,360,57.203168
122.65,360,57.267886
124.85,360,57.333997
124.1,360,57.710519
118.6,360,57.776257
156.35,360,57.843629
146.9,360,57.909105
115.85,360,57.974682
135.75,360,58.352046
115.65,360,58.417266
123.5,360,58.483369
116.35,360,58.548143
120.75,360,58.613953
116.05,360,58.679411
124.2,360,59.055418
155.55,360,59.1235
117.45,360,59.188467
132.2,360,59.254552
117.4,360,59.320133
127.1,360,59.384867
124.35,360,59.762813
130.55,360,59.828432
141.1,360,59.894584
111.5,360,59.960443
130.8,360,60.024952
126.0,360,60.403378
100.85,360,60.468894
109.5,360,60.533503
146.0,360,60.600162
105.75,360,60.664775
115.25,360,60.729952
152.95,360,61.108435
122.7,360,61.173413
146.75,360,61.240099
131.25,360,61.30551
159.9,360,61.371473
133.4,360,61.437759
133.25,360,61.8149
140.55,360,61.881102
109.7,360,61.946444
78.75,360,62.009602
112.6,360,62.075239
117.15,360,62.45027
103.9,360,62.516088
100.7,360,62.585215
111.55,360,62.64962
130.75,360,62.71611
128.35,360,62.782516
132.1,360,63.160258
133.6,360,63.227221
130.8,360,63.292506
138.35,360,63.358643
122.35,360,63.424163
125.8,360,63.488558
139.65,360,63.867482
130.3,360,63.932504
101.75,360,63.998058
88.7,360,64.06253
118.85,360,64.126886
138.2,360,64.193349
133.6,360,64.57223
118.0,360,64.637233
147.0,360,64.704143
140.15,360,64.769614
122.9,360,64.835961
127.95,360,65.214141
112.45,360,65.278659
130.95,360,65.345165
130.75,360,65.410706
99.35,360,65.475506
127.8,360,65.54127
123.8,360,65.918353
131.25,360,65.984683
147.5,360,66.050689
121.2,360,66.116574
148.9,360,66.182987
142.2,360,66.249245
133.95,360,66.627398
110.75,360,66.693251
108.4,360,66.757445
140.2,360,66.823686
120.4,360,66.890247
97.45,360,67.266137
120.8,360,67.332245
132.2,360,67.397591
139.55,360,67.46399
131.95,360,67.530175
131.85,360,67.594751
131.45,360,67.972643
155.7,360,68.040332
142.4,360,68.105518
138.9,360,68.172299
103.25,360,68.236155
138.0,360,68.302377
120.8,360,68.681577
157.75,360,68.747186
138.7,360,68.813725
103.35,360,68.87907
128.0,360,68.944478
109.5,360,69.321592
142.2,360,69.386774
138.55,360,69.45325
145.5,360,69.520239
116.0,360,69.58524
116.25,360,69.650363
136.4,360,70.028082
138.0,360,70.094353
149.2,360,70.161117
127.8,360,70.225885
102.15,360,70.291081
145.0,360,70.356819
135.35,360,70.735371
137.1,360,70.802695
110.5,360,70.867478
127.85,360,70.93387
150.1,360,71.000961
142.8,360,71.377952
122.6,360,71.444138
155.2,360,71.510747
140.75,360,71.575586
107.2,360,71.641585
119.65,360,71.706318
126.1,360,72.084255
136.35,360,72.151023
135.1,360,72.216769
125.25,360,72.282375
96.05,360,72.347127
129.15,360,72.411973
140.4,360,72.791485
119.15,360,72.856714
136.2,360,72.922809
113.1,360,72.988372
134.7,360,73.05355
131.3,360,73.431508
109.65,360,73.496001
117.15,360,73.561986
121.65,360,73.628014
111.55,360,73.692707
109.2,360,73.758341
121.25,360,74.134796
115.95,360,74.199297
143.25,360,74.266603
103.35,360,74.330713
138.4,360,74.396618
133.3,360,74.462907
140.1,360,74.839716
128.95,360,74.906527
108.7,360,74.970831
125.35,360,75.037239
130.0,360,75.103189
133.65,360,75.168278
114.55,360,75.545848
124.05,360,75.611191
126.2,360,75.676363
