#{"t_start": 1771820455.16017, "env_id": "None"}
r,l,t
23.61,360,0.910586
6.95,360,1.176017
115.29,360,1.442221
56.415,360,1.711228
84.15,360,1.97709
55.65,360,4.363319
60.075,360,4.640559
108.035,360,4.906098
159.53,360,5.183745
171.1,360,5.55008
163.625,360,5.81491
122.955,360,7.89326
169.015,360,8.159144
174.305,360,8.426653
143.36,360,8.692893
146.635,360,8.969494
178.245,360,9.260027
182.88,360,11.655264
214.03,360,12.006576
200.57,360,12.278412
174.97,360,12.550936
167.76,360,12.84099
208.555,360,15.129886
166.55,360,15.397489
205.915,360,15.669439
204.175,360,15.937506
141.515,360,16.203353
192.63,360,16.470374
173.28,360,18.519664
196.03,360,18.785659
171.57,360,19.051417
162.255,360,19.318436
195.46,360,19.585137
163.53,360,19.850583
167.46,360,21.89865
179.005,360,22.166916
205.565,360,22.433801
200.665,360,22.699413
196.215,360,22.966952
193.295,360,25.009562
141.34,360,25.278749
205.155,360,25.545438
174.635,360,25.86819
240.695,360,26.140773
182.915,360,26.41083
187.54,360,28.459109
206.485,360,28.726347
179.105,360,28.987242
232.97,360,29.250224
171.11,360,29.516105
224.2,360,29.783593
233.425,360,31.831928
216.5,360,32.098797
222.52,360,32.364858
216.88,360,32.632766
221.565,360,32.899698
229.065,360,34.951478
205.35,360,35.219346
182.8,360,35.485799
221.485,360,35.752319
210.385,360,36.019252
233.15,360,36.286177
188.95,360,38.340501
200.52,360,38.615182
157.485,360,38.881487
212.12,360,39.150738
220.78,360,39.415755
211.285,360,39.711918
234.885,360,41.769543
183.985,360,42.036109
173.665,360,42.301501
207.68,360,42.566463
189.335,360,42.832702
192.28,360,44.951873
184.755,360,45.229597
236.22,360,45.647349
199.705,360,45.93207
227.53,360,46.205564
221.06,360,46.539202
221.86,360,48.912304
226.575,360,49.194614
246.11,360,49.463763
210.825,360,49.728896
219.06,360,50.010791
198.06,360,50.533981
176.48,360,52.874799
223.03,360,53.16874
194.065,360,53.468026
204.31,360,53.740295
212.105,360,54.006279
209.565,360,54.415231
218.535,360,56.901091
225.415,360,57.233643
205.465,360,57.530979
215.81,360,57.842155
211.985,360,58.126151
202.875,360,60.32535
211.75,360,60.593351
223.875,360,60.861922
191.485,360,61.128529
176.695,360,61.395305
215.285,360,61.659925
215.99,360,63.715634
223.35,360,63.97982
239.925,360,64.246395
213.015,360,64.512478
250.645,360,64.780665
191.025,360,65.081451
211.235,360,67.162917
210.385,360,67.429271
182.4,360,67.694961
