#{"t_start": 1771863127.210567, "env_id": "None"}
r,l,t
117.11,360,184.161942
67.315,360,184.443012
129.76,360,184.724384
66.81,360,185.005511
73.32,360,187.54017
163.18,360,187.818995
41.555,360,188.092724
34.835,360,188.367296
89.75,360,188.639305
107.12,360,190.855397
114.46,360,191.161951
150.995,360,191.469424
83.41,360,191.775907
22.25,360,192.082996
110.21,360,192.390507
115.58,360,194.571451
131.7,360,194.847292
94.635,360,195.121993
121.725,360,195.395441
106.855,360,195.667952
120.675,360,195.942161
93.525,360,198.056881
112.685,360,198.335147
74.79,360,198.611273
104.55,360,198.887759
33.77,360,199.163889
72.97,360,201.323421
120.69,360,201.598907
111.045,360,201.874342
99.615,360,202.159621
93.45,360,202.439379
76.815,360,202.720482
55.425,360,204.951185
84.775,360,205.242396
111.03,360,205.531733
61.375,360,205.828353
86.765,360,206.173245
87.1,360,207.055705
41.175,360,209.291163
128.12,360,209.585954
71.915,360,209.876171
92.225,360,210.160174
57.74,360,210.452548
72.435,360,212.675033
42.8,360,212.95058
89.735,360,213.258084
76.525,360,213.794779
93.73,360,214.149516
121.8,360,214.437283
123.645,360,216.736398
107.02,360,217.043305
48.43,360,217.354721
30.435,360,217.664353
78.485,360,217.973068
74.27,360,218.278226
94.505,360,220.596104
78.195,360,220.905643
62.685,360,221.215254
73.275,360,221.523382
104.45,360,221.83231
99.985,360,222.142002
73.9,360,224.452769
89.36,360,224.763928
97.81,360,225.078606
93.865,360,225.388704
90.61,360,225.698388
99.285,360,228.042776
119.73,360,228.361362
35.99,360,228.679451
91.205,360,228.995341
77.44,360,229.309702
36.76,360,229.622784
59.62,360,231.94059
110.755,360,232.251738
92.22,360,232.562983
96.575,360,232.900485
65.93,360,233.223345
61.655,360,233.545907
14.345,360,236.13979
79.01,360,236.464261
77.945,360,236.778342
89.49,360,237.112405
80.745,360,237.484535
61.215,360,239.897982
45.145,360,240.213535
47.705,360,240.527624
72.125,360,240.843178
90.82,360,241.158556
78.12,360,241.471526
86.075,360,243.784444
122.71,360,244.095533
111.995,360,244.403577
69.475,360,244.713313
75.965,360,245.023169
94.39,360,245.332062
90.47,360,247.686748
129.875,360,247.997697
65.34,360,248.303968
71.43,360,248.614255
58.935,360,248.923388
94.335,360,251.236309
80.79,360,251.547279
82.755,360,251.856881
47.035,360,252.16493
134.61,360,252.474684
56.36,360,252.760861
75.255,360,254.952522
116.91,360,255.22851
75.195,360,255.501503
100.69,360,255.77516
104.585,360,256.053433
104.345,360,256.327602
79.185,360,258.562954
84.07,360,258.847979
59.635,360,259.132225
86.64,360,259.425352
113.28,360,259.718172
85.315,360,261.938336
84.725,360,262.216436
112.16,360,262.498195
85.39,360,262.791405
63.89,360,263.078678
129.89,360,263.362298
100.47,360,265.549407
139.685,360,265.840461
137.285,360,266.134836
116.805,360,266.426099
131.01,360,266.752063
69.85,360,267.040206
91.555,360,269.369926
71.915,360,269.657934
111.645,360,269.967462
59.63,360,270.279335
102.29,360,270.563186
111.54,360,272.937268
46.76,360,273.216621
111.925,360,273.493751
59.19,360,273.769418
140.14,360,274.048979
96.155,360,274.330496
44.51,360,276.53901
55.345,360,276.830295
102.7,360,277.181387
108.8,360,277.4649
18.25,360,277.744848
49.24,360,278.021416
59.03,360,280.604335
55.53,360,280.895166
74.63,360,281.204325
134.73,360,281.532527
61.12,360,281.824871
98.725,360,282.134416
69.17,360,284.722415
51.1,360,285.031027
51.825,360,285.324377
122.5,360,285.620159
71.015,360,285.912451
91.355,360,288.701509
128.88,360,289.043428
68.425,360,289.393294
86.43,360,289.967648
68.445,360,290.570348
81.81,360,290.882484
37.045,360,293.182811
84.975,360,293.491328
110.4,360,293.797605
100.62,360,294.096797
95.085,360,294.397816
74.485,360,294.699672
111.21,360,297.050184
106.13,360,297.344092
139.905,360,297.709626
133.175,360,298.011927
99.44,360,298.306567
83.68,360,300.596071
66.12,360,300.897691
99.895,360,301.193896
125.045,360,301.497586
136.42,360,301.803859
99.82,360,302.112328
62.505,360,304.40422
63.39,360,304.705833
139.81,360,305.006845
96.31,360,305.309425
69.33,360,305.603633
164.87,360,305.979917
61.065,360,308.290976
129.335,360,308.591611
106.64,360,308.887064
47.23,360,309.193276
132.435,360,309.495257
117.635,360,311.860492
125.735,360,312.170615
99.255,360,312.482263
106.835,360,312.777669
50.04,360,313.088181
47.665,360,313.394055
97.955,360,315.677574
66.99,360,315.980336
58.43,360,316.279072
128.935,360,316.566864
90.195,360,316.869443
73.12,360,317.230488
86.185,360,319.55426
63.96,360,319.869341
124.65,360,320.1778
111.175,360,320.490259
70.8,360,320.793037
75.93,360,323.199749
134.7,360,323.490732
145.735,360,323.794447
83.355,360,324.074872
95.1,360,324.350965
102.165,360,324.626793
44.0,360,326.8192
95.495,360,327.099571
